"","Subject","File","Gender","Age","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"30",30,"540346551-1494335150.json","m",24,1.98333333333333,"[573, 1153, 250]","mouse","right","English","False","{'y': 0.10252290590125494, 'x': 0.5}","False","","True","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
"31",31,"561468062-1494334252.json","f",32,2.41666666666667,"[145, 1424, 54]","mouse","right","English","False","{'y': 0.10250799528698873, 'x': 0.5}","False","I did not. Thank You","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1854
"32",32,"575416497-1494334464.json","f",44,2.98333333333333,"[187, 484, 49]","mouse","right","English","False","{'y': 0.1024390243902439, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1600
"33",33,"575987441-1494334596.json","f",21,2.91666666666667,"[191, 572, 41]","mouse","right","English","False","{'y': 0.10271483060354498, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1252
"34",34,"597304485-1494334437.json","m",25,2.43333333333333,"[138, 338, 74]","mouse","right","english","False","{'y': 0.10246052148365772, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",950
"35",35,"603580079-1494334585.json","f",37,2.35,"[155, 293, 52]","mouse","right","english","False","{'y': 0.10262873153477806, 'x': 0.5}","False","none","False","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1536
"36",36,"613576771-1494334229.json","f",28,2.05,"[163, 420, 80]","mouse","right","English","False","{'y': 0.102460521805205, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1536
"37",37,"620555070-1494338840.json","m",24,2.25,"[509, 1348, 175]","mouse","right","English","False","{'y': 0.10229322339603195, 'x': 0.49990559506576876}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366
"38",38,"643128579-1494334327.json","f",38,3.05,"[195, 628, 60]","mouse","right","English","False","{'y': 0.10255184106420902, 'x': 0.5}","False","none","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
"39",39,"650020102-1494334255.json","m",20,2.45,"[143, 256, 74]","mouse","right","English","False","{'y': 0.10263265213648104, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1680
"40",40,"658126173-1494334382.json","f",55,3.7,"[1109, 3201, 507]","mouse","right","Finnish","False","{'y': 0.10256410256410256, 'x': 0.5}","False","Did not use any special strategies. ","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
"41",41,"659308321-1494334989.json","m",40,2.65,"[137, 224, 83]","mouse","right","English","False","{'y': 0.10234641353031619, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1366
"42",42,"701198801-1494336377.json","f",41,2.41666666666667,"[93, 264, 30]","mouse","right","english","False","{'y': 0.10234641353031619, 'x': 0.5}","False","none","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
"43",43,"705337061-1494334279.json","f",41,2.66666666666667,"[207, 489, 97]","mouse","right","English ","False","{'y': 0.10237617291442977, 'x': 0.5}","False","nothing ","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1175
"44",44,"705454671-1494335434.json","f",38,2.23333333333333,"[804, 2607, 314]","mouse","right","English","False","{'y': 0.10237464566197314, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1170
"45",45,"710121566-1494336890.json","f",34,2.76666666666667,"[63, 119, 38]","trackpad","right","English","False","{'y': 0.10245031352261555, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1280
